total_livable_area,market_value,zip_code
936.0,24400.0,19132
1176.0,111000.0,19138
1056.0,41900.0,19140
450.0,141200.0,19130
1194.0,71700.0,19119
1364.0,133000.0,19128
,15800.0,19125
2008.0,322000.0,19128
1492.0,403400.0,19147
2031.0,262300.0,19128
1104.0,97700.0,19124
1036.0,134500.0,19143
396.0,133900.0,19146
1044.0,79900.0,19141
1260.0,59500.0,19134
1800.0,191700.0,19114
1799.0,365700.0,19130
1060.0,56100.0,19140
1350.0,257200.0,19146
1260.0,56200.0,19151
1696.0,83800.0,19132
1960.0,244400.0,19147
1290.0,84600.0,19141
2960.0,460600.0,19147
1136.0,328100.0,19146
1316.0,62700.0,19143
3033.0,550000.0,19121
1050.0,44200.0,19131
780.0,22600.0,19134
2880.0,219600.0,19131
1152.0,65500.0,19144
1102.0,27100.0,19133
1605.0,61700.0,19139
1854.0,474000.0,19122
1723.0,380600.0,19147
1848.0,445000.0,19145
1084.0,205500.0,19146
1126.0,37900.0,19134
1937.0,198800.0,19111
1052.0,140700.0,19149
1600.0,100400.0,19120
1224.0,191100.0,19114
18118.0,820500.0,19130
1672.0,225600.0,19148
960.0,101600.0,19135
1200.0,232700.0,19128
1164.0,314600.0,19118
1044.0,49500.0,19120
0.0,256500.0,19122
1900.0,141500.0,19126
1336.0,155800.0,19136
3876.0,220900.0,19122
998.0,25900.0,19132
1200.0,40500.0,19140
1140.0,99800.0,19135
784.0,178800.0,19148
2880.0,218200.0,19111
1440.0,229600.0,19111
,5900.0,19134
,11400.0,19131
1840.0,58900.0,19143
3000.0,147800.0,19139
2148.0,488200.0,19147
960.0,81100.0,19142
1152.0,120500.0,19124
1260.0,129300.0,19153
1304.0,188900.0,19152
1050.0,73800.0,19121
1208.0,86500.0,19124
2208.0,379300.0,19119
1360.0,183700.0,19154
1046.0,92000.0,19135
1860.0,327100.0,19151
1760.0,169200.0,19138
728.0,43400.0,19134
1128.0,53900.0,19143
2700.0,300600.0,19148
1424.0,135600.0,19136
1244.0,78700.0,19146
1200.0,120700.0,19124
1656.0,222400.0,19127
3520.0,225800.0,19119
4598.0,413800.0,19131
1841.0,18000.0,19121
0.0,438000.0,19146
1818.0,601100.0,19147
1058.0,82400.0,19120
6400.0,420800.0,19137
1088.0,188100.0,19128
1242.0,86200.0,19138
5175.0,250000.0,19125
1140.0,195900.0,19145
1632.0,261700.0,19147
1506.0,135700.0,19138
1000.0,220800.0,19111
960.0,117300.0,19149
1194.0,99300.0,19124
2719.0,48300.0,19139
2712.0,598600.0,19104
3067.0,443900.0,19116
964.0,25500.0,19132
1001.0,65600.0,19145
0.0,37200.0,19128
1344.0,129500.0,19135
880.0,49700.0,19143
2173.0,687100.0,19123
1280.0,163500.0,19139
1520.0,207800.0,19154
2208.0,369800.0,19119
1400.0,203400.0,19114
1336.0,97200.0,19131
3775.0,1599300.0,19106
1408.0,67500.0,19139
1680.0,266900.0,19116
2640.0,201400.0,19124
1056.0,218800.0,19154
1060.0,208300.0,19114
1050.0,76100.0,19143
1572.0,364000.0,19146
1062.0,75600.0,19143
1088.0,68600.0,19139
1638.0,111700.0,19144
0.0,18800.0,19125
920.0,207800.0,19146
1152.0,294500.0,19145
1082.0,209500.0,19111
1280.0,131700.0,19144
1122.0,52700.0,19124
1082.0,214100.0,19111
1584.0,82200.0,19131
1152.0,93800.0,19135
1510.0,335800.0,19146
1408.0,163900.0,19111
1056.0,118900.0,19135
828.0,149800.0,19129
1544.0,60100.0,19143
1552.0,255300.0,19152
1408.0,162500.0,19111
1050.0,55600.0,19139
1214.0,98500.0,19136
1128.0,72600.0,19146
1080.0,208500.0,19116
826.0,235500.0,19147
1162.0,295000.0,19146
2100.0,110200.0,19143
1510.0,176800.0,19150
2745.0,85400.0,19121
1600.0,372500.0,19127
846.0,154100.0,19125
1488.0,76800.0,19143
2157.0,302200.0,19127
840.0,192900.0,19148
2680.0,112500.0,19140
0.0,18300.0,19121
1120.0,38600.0,19140
1402.0,113800.0,19131
0.0,172800.0,19125
1476.0,192800.0,19145
1217.0,40100.0,19140
1718.0,166700.0,19115
1111.0,429000.0,19102
384.0,7600.0,19126
1144.0,203200.0,19122
1590.0,207100.0,19115
1263.0,46400.0,19129
868.0,31100.0,19133
0.0,510000.0,19145
1428.0,115700.0,19151
1788.0,349000.0,19148
2201.0,799100.0,19146
2040.0,273700.0,19104
1120.0,127800.0,19149
1124.0,207100.0,19111
1222.0,181200.0,19152
2817.0,427700.0,19127
850.0,182800.0,19154
,43900.0,19143
1524.0,58900.0,19104
1821.0,274000.0,19128
0.0,22400.0,19119
1456.0,388000.0,19125
1725.0,173300.0,19133
1104.0,9100.0,19133
1146.0,14500.0,19140
1562.0,441600.0,19123
1194.0,88800.0,19151
1320.0,55400.0,19126
1890.0,230700.0,19115
936.0,29700.0,19132
1176.0,123200.0,19135
2600.0,213400.0,19139
1066.0,206000.0,19154
2880.0,486200.0,19104
1200.0,109900.0,19135
1200.0,72900.0,19120
1365.0,59100.0,19138
1172.0,107000.0,19138
2635.0,15800.0,19132
1812.0,541300.0,19147
829.0,13000.0,19126
880.0,28500.0,19132
1290.0,76300.0,19139
1350.0,119500.0,19120
966.0,29000.0,19140
1356.0,107700.0,19126
1138.0,132300.0,19149
1680.0,118300.0,19141
1186.0,67400.0,19142
1665.0,150700.0,19139
1080.0,210800.0,19152
1140.0,39300.0,19140
0.0,79200.0,19125
1224.0,195000.0,19114
1060.0,188200.0,19152
1247.0,164700.0,19149
1170.0,147300.0,19149
1140.0,300600.0,19148
0.0,5900.0,19134
960.0,158500.0,19148
1468.0,97600.0,19141
0.0,29300.0,19122
1017.0,205400.0,19111
3069.0,133500.0,19121
1260.0,215000.0,19114
1052.0,140700.0,19149
1152.0,277300.0,19145
1296.0,127900.0,19153
2372.0,661500.0,19103
0.0,7200.0,19142
152431.0,2575000.0,19143
1908.0,122000.0,19142
3600.0,378300.0,19119
973.0,26100.0,19134
4678.0,438600.0,19104
1060.0,202600.0,19111
2082.0,68200.0,19139
1728.0,148500.0,19146
1360.0,165300.0,19153
870.0,308300.0,19106
1050.0,64900.0,19139
1600.0,229900.0,19128
1140.0,10300.0,19132
0.0,33400.0,19132
757.0,65600.0,19139
1320.0,82900.0,19143
1480.0,402800.0,19130
1380.0,331800.0,19146
1170.0,153100.0,19149
0.0,0.0,19121
1080.0,90400.0,19134
1280.0,240000.0,19148
1536.0,59800.0,19120
1344.0,248800.0,19152
904.0,27400.0,19134
1640.0,217100.0,19119
1870.0,477700.0,19103
1050.0,117300.0,19120
1290.0,105900.0,19136
1206.0,125100.0,19124
1140.0,48700.0,19134
2940.0,428500.0,19147
884.0,193400.0,19147
1120.0,20400.0,19134
1400.0,224300.0,19116
1224.0,133800.0,19143
1388.0,158800.0,19145
1120.0,63100.0,19143
1080.0,200100.0,19115
1140.0,93500.0,19120
1652.0,203400.0,19121
0.0,993500.0,19112
1088.0,44600.0,19120
1099.0,180100.0,19127
1120.0,16200.0,19134
1600.0,236200.0,19143
2050.0,72500.0,19139
2400.0,199400.0,19139
1120.0,198600.0,19129
1248.0,438900.0,19147
1150.0,635000.0,19102
1923.0,312300.0,19128
1545.0,202000.0,19114
860.0,118700.0,19153
987.0,158000.0,19129
0.0,26000.0,19124
1169.0,197100.0,19152
1066.0,207100.0,19152
1184.0,80300.0,19146
1240.0,89600.0,19124
2253.0,223200.0,19152
2320.0,163800.0,19139
1677.0,527700.0,19146
0.0,7900.0,19132
960.0,64000.0,19142
1568.0,97700.0,19141
970.0,216400.0,19152
803.0,81400.0,19152
1980.0,58600.0,19124
1240.0,31400.0,19131
1546.0,234900.0,19128
1152.0,199700.0,19154
956.0,21400.0,19132
0.0,10600.0,19134
1280.0,261200.0,19154
928.0,117400.0,19149
1380.0,44900.0,19140
1440.0,116000.0,19131
924.0,65000.0,19142
1368.0,26200.0,19132
1152.0,137700.0,19150
1164.0,191100.0,19152
1068.0,94000.0,19143
2422.0,948000.0,19146
1077.0,139400.0,19148
1184.0,30200.0,19121
1489.0,128200.0,19146
1022.0,63000.0,19143
3200.0,239900.0,19125
1170.0,165900.0,19136
1958.0,203100.0,19131
0.0,9300.0,19139
1164.0,131300.0,19149
980.0,158900.0,19148
1109.0,69800.0,19143
1485.0,71400.0,19131
1314.0,720000.0,19102
1656.0,295500.0,19138
1384.0,637000.0,19103
2618.0,119100.0,19124
1050.0,442600.0,19147
5190.0,325500.0,19151
944.0,124300.0,19148
2736.0,398300.0,19147
1968.0,542900.0,19130
0.0,76500.0,19130
904.0,241200.0,19148
1048.0,59600.0,19124
1496.0,85800.0,19143
3410.0,371900.0,19151
6776.0,1900000.0,19107
2370.0,85200.0,19121
1330.0,163100.0,19131
0.0,7400.0,19134
1104.0,21600.0,19143
1200.0,95200.0,19145
948.0,10000.0,19143
1920.0,167200.0,19111
1512.0,70700.0,19124
1536.0,221600.0,19128
0.0,9400.0,19140
2218.0,474000.0,19121
1372.0,85800.0,19144
0.0,4600.0,19134
1272.0,131400.0,19135
1126.0,105800.0,19149
784.0,125000.0,19148
3569.0,410300.0,19119
1152.0,151800.0,19122
2258.0,256700.0,19146
0.0,11200.0,19144
1200.0,200500.0,19114
1966.0,50300.0,19133
1600.0,173400.0,19149
2100.0,455000.0,19146
1820.0,658200.0,19147
1093.0,224100.0,19148
1260.0,57400.0,19134
1296.0,151800.0,19125
1048.0,84800.0,19134
13580.0,370000.0,19129
1600.0,101500.0,19144
1944.0,692900.0,19147
5217.0,1321600.0,19147
1140.0,94700.0,19120
1433.0,334600.0,19116
1038.0,4700.0,19132
3105.0,342400.0,19104
1316.0,84900.0,19141
1080.0,77400.0,19104
1068.0,435000.0,19146
1056.0,102600.0,19135
1144.0,118600.0,19119
942.0,86700.0,19145
1296.0,154400.0,19136
0.0,52400.0,19139
1072.0,36300.0,19134
1332.0,237800.0,19128
1255.0,375000.0,19133
1004.0,71000.0,19145
780.0,22600.0,19134
1152.0,205300.0,19115
1224.0,126700.0,19150
0.0,10600.0,19140
1375.0,40700.0,19134
1104.0,99900.0,19120
1530.0,128700.0,19143
0.0,15000.0,19132
1304.0,188900.0,19152
1032.0,239500.0,19129
700.0,20000.0,19133
1230.0,103300.0,19124
852.0,342800.0,19125
1448.0,160900.0,19136
972.0,71500.0,19145
1120.0,134900.0,19151
1328.0,118500.0,19146
910.0,192200.0,19125
1806.0,253900.0,19136
1204.0,143000.0,19146
745.0,53500.0,19134
960.0,78200.0,19142
0.0,7000.0,19141
717.0,288300.0,19102
1196.0,92000.0,19124
1040.0,390000.0,19130
0.0,5800.0,19104
892.0,317900.0,19103
1224.0,62300.0,19143
1904.0,230500.0,19126
1218.0,216800.0,19111
1216.0,104900.0,19149
1156.0,123800.0,19149
1098.0,192300.0,19154
1080.0,59300.0,19139
1652.0,246900.0,19111
1203.0,117700.0,19115
1120.0,121800.0,19124
0.0,14000.0,19122
1870.0,48900.0,19134
750.0,66800.0,19135
0.0,463100.0,19147
540.0,171100.0,19146
1348.0,434000.0,19146
1240.0,314800.0,19146
1152.0,196500.0,19154
1812.0,409300.0,19146
1046.0,74200.0,19151
1153.0,34300.0,19132
840.0,163700.0,19148
1260.0,205400.0,19148
2640.0,376600.0,19135
2070.0,150800.0,19151
1415.0,186300.0,19134
1248.0,121300.0,19150
0.0,2800.0,19121
968.0,618000.0,19102
1231.0,58100.0,19124
0.0,96800.0,19149
1170.0,155500.0,19145
0.0,6400.0,19143
1260.0,83700.0,19139
1088.0,59600.0,19131
1404.0,53900.0,19139
1386.0,130800.0,19138
1188.0,188900.0,19136
110250.0,25374900.0,19107
980.0,127200.0,19143
200.0,30000.0,19147
1314.0,136900.0,19150
1122.0,380200.0,19130
821.0,72500.0,19137
1662.0,445000.0,19146
1280.0,97900.0,19145
980.0,25200.0,19134
1200.0,124100.0,19135
3984.0,223200.0,19140
1056.0,189200.0,19128
1386.0,236000.0,19146
2256.0,549000.0,19146
2320.0,222600.0,19152
1200.0,87000.0,19144
784.0,37500.0,19136
1664.0,226900.0,19128
,60000.0,19147
0.0,36300.0,19146
1250.0,139500.0,19115
2817.0,49800.0,19131
1195.0,292200.0,19130
1152.0,91000.0,19124
1120.0,196100.0,19147
1160.0,93300.0,19134
0.0,1211000.0,19122
1290.0,35400.0,19132
1980.0,750000.0,19130
1134.0,383400.0,19130
1184.0,153600.0,19149
1776.0,474900.0,19146
672.0,73300.0,19115
1220.0,40900.0,19132
3000.0,424300.0,19143
0.0,66900.0,19126
0.0,7800.0,19104
1146.0,89300.0,19149
1194.0,108700.0,19143
919.0,507100.0,19103
1152.0,115700.0,19144
942.0,249100.0,19107
726.0,257900.0,19102
3444.0,159300.0,19144
2565.0,494700.0,19130
1332.0,195800.0,19111
952.0,291100.0,19148
1040.0,65500.0,19104
1088.0,375300.0,19146
0.0,51900.0,19145
1272.0,271400.0,19145
1069.0,196700.0,19125
0.0,769900.0,19123
2628.0,1136700.0,19103
2160.0,470800.0,19125
1060.0,13700.0,19132
1450.0,102100.0,19111
1651.0,163800.0,19114
1200.0,62000.0,19120
1776.0,409800.0,19122
946.0,25000.0,19132
1426.0,164600.0,19111
1203.0,117700.0,19115
1512.0,351900.0,19146
1110.0,10100.0,19132
1364.0,74600.0,19134
1250.0,96100.0,19151
0.0,4400.0,19144
1332.0,225500.0,19154
2394.0,1066000.0,19146
574.0,175000.0,19123
0.0,178200.0,19122
1110.0,44000.0,19140
2085.0,611000.0,19147
0.0,42900.0,19145
1800.0,93200.0,19143
1700.0,212400.0,19154
1255.0,197400.0,19128
1480.0,130400.0,19138
1200.0,145600.0,19149
1286.0,217400.0,19119
1260.0,113700.0,19111
0.0,2800.0,19132
1800.0,131500.0,19131
920.0,134600.0,19148
717.0,122100.0,19134
0.0,16400.0,19146
1548.0,73800.0,19143
821.0,72400.0,19137
810.0,439400.0,19103
0.0,13800.0,19133
1192.0,220100.0,19104
1110.0,99500.0,19153
0.0,15600.0,19146
2250.0,233700.0,19115
1038.0,34800.0,19132
1020.0,282400.0,19148
1365.0,46500.0,19143
1170.0,49000.0,19132
1302.0,166300.0,19136
1260.0,59100.0,19134
1297.0,474000.0,19147
0.0,22400.0,19145
1224.0,124300.0,19150
0.0,767000.0,19122
1140.0,36100.0,19143
2172.0,299400.0,19125
1091.0,126000.0,19135
3353.0,2968800.0,19102
962.0,87300.0,19145
1120.0,91100.0,19153
1506.0,261800.0,19147
836.0,11700.0,19132
0.0,7600.0,19122
1304.0,63100.0,19143
1110.0,47500.0,19140
1200.0,154300.0,19148
1120.0,38200.0,19140
1168.0,140700.0,19149
1600.0,236100.0,19115
2208.0,346900.0,19147
864.0,18900.0,19134
1536.0,409000.0,19125
1024.0,48800.0,19120
0.0,16400.0,19143
798.0,76300.0,19125
1344.0,129800.0,19126
1500.0,98500.0,19141
896.0,114700.0,19149
1689.0,55600.0,19140
2050.0,163600.0,19132
820.0,8600.0,19140
944.0,326700.0,19146
1663.0,332500.0,19122
1501.0,334600.0,19116
1839.0,25100.0,19139
3580.0,679300.0,19106
873.0,43100.0,19124
0.0,3291800.0,19122
2128.0,540200.0,19121
1370.0,74100.0,19121
1552.0,210900.0,19152
1440.0,57600.0,19134
1400.0,245400.0,19115
1102.0,35800.0,19143
900.0,132900.0,19153
1056.0,148000.0,19135
2288.0,136400.0,19119
1140.0,60900.0,19120
1296.0,192200.0,19154
1450.0,210300.0,19154
848.0,71400.0,19137
900.0,23400.0,19134
,66400.0,19137
1296.0,179500.0,19154
1360.0,146500.0,19153
0.0,40800.0,19134
672.0,53500.0,19134
0.0,5000.0,19131
1400.0,263000.0,19130
0.0,13400.0,19124
1012.0,182400.0,19134
1276.0,35800.0,19133
0.0,1800.0,19133
3600.0,355700.0,19152
0.0,8100.0,19124
0.0,425000.0,19122
2880.0,521500.0,19145
1092.0,132000.0,19134
942.0,52300.0,19134
0.0,390000.0,19146
1110.0,25900.0,19143
1164.0,223600.0,19152
868.0,895000.0,19122
1920.0,317600.0,19147
1188.0,257700.0,19123
3464.0,340700.0,19136
1012.0,61500.0,19125
1380.0,202400.0,19154
1503.0,267300.0,19125
1220.0,110300.0,19141
1234.0,93300.0,19141
0.0,31700.0,19137
1880.0,262100.0,19115
1450.0,126900.0,19150
1850.0,75000.0,19139
1494.0,61700.0,19139
1200.0,121900.0,19124
0.0,837700.0,19127
0.0,4600.0,19134
1125.0,193300.0,19125
1092.0,117900.0,19146
1300.0,101500.0,19124
1231.0,159300.0,19136
4830.0,1389400.0,19107
1460.0,29900.0,19143
1270.0,247600.0,19152
1134.0,32700.0,19132
892.0,74600.0,19132
4156.0,80000.0,19133
1402.0,372000.0,19130
583.0,213000.0,19103
0.0,15600.0,19133
1480.0,59800.0,19120
1311.0,502500.0,19147
1296.0,129100.0,19149
2469.0,160700.0,19144
994.0,186500.0,19148
2550.0,128300.0,19141
892.0,70800.0,19121
1376.0,40600.0,19141
1200.0,394300.0,19130
1132.0,135300.0,19149
2365.0,321900.0,19116
1008.0,198600.0,19115
1500.0,77000.0,19120
1461.0,41900.0,19121
153.0,29000.0,19106
1350.0,93700.0,19139
1224.0,29100.0,19139
1200.0,74800.0,19142
720.0,106800.0,19124
1656.0,413700.0,19118
1778.0,197300.0,19114
2050.0,298500.0,19147
0.0,709200.0,19122
2151.0,474600.0,19119
2310.0,109000.0,19140
5206.0,639600.0,19131
1120.0,148500.0,19149
0.0,9000.0,19134
2616.0,545900.0,19125
1811.0,152000.0,19138
1020.0,10400.0,19121
928.0,80700.0,19135
2643.0,603300.0,19147
722.0,96000.0,19124
2228.0,295200.0,19111
1527.0,115500.0,19145
1380.0,126100.0,19143
1008.0,70900.0,19146
1632.0,173900.0,19124
1368.0,219700.0,19114
1476.0,215800.0,19154
1040.0,254800.0,19148
1404.0,22800.0,19139
1350.0,410700.0,19147
940.0,41100.0,19144
0.0,144200.0,19134
1428.0,323000.0,19125
1116.0,164100.0,19151
1015.0,76000.0,19138
1590.0,560200.0,19147
1698.0,552000.0,19123
942.0,8600.0,19134
1068.0,28000.0,19140
1160.0,358100.0,19122
1082.0,211300.0,19111
821.0,83600.0,19137
1056.0,183500.0,19129
1110.0,220800.0,19128
1392.0,297400.0,19128
1080.0,95600.0,19119
2358.0,803100.0,19146
1625.0,66400.0,19143
1600.0,122600.0,19142
0.0,8800.0,19143
1108.0,170300.0,19148
41900.0,2369000.0,19142
1200.0,214400.0,19145
1984.0,92300.0,19143
0.0,6800.0,19143
7000.0,1101100.0,19104
1328.0,151300.0,19149
1194.0,123800.0,19135
2221.0,49200.0,19141
804.0,146000.0,19125
976.0,177200.0,19145
1088.0,92500.0,19134
950.0,241100.0,19148
1056.0,151400.0,19114
2160.0,352900.0,19121
1360.0,88400.0,19144
1026.0,51200.0,19144
0.0,20800.0,19104
875.0,290000.0,19107
1235.0,193800.0,19134
0.0,7800.0,19131
3233.0,1038600.0,19123
1400.0,206800.0,19149
1640.0,60300.0,19143
2068.0,279600.0,19119
960.0,37600.0,19142
0.0,6200.0,19124
920.0,129800.0,19145
1800.0,24800.0,19104
1480.0,90400.0,19120
1858.0,104100.0,19138
727.0,154300.0,19130
0.0,10600.0,19133
1752.0,719200.0,19146
971.0,246100.0,19146
1732.0,254400.0,19116
1603.0,403500.0,19146
1854.0,660000.0,19125
1890.0,277700.0,19123
1636.0,180500.0,19149
1042.0,207300.0,19146
1056.0,351600.0,19147
1140.0,218800.0,19111
1187.0,437000.0,19103
1904.0,59300.0,19143
968.0,141700.0,19148
0.0,14800.0,19121
715.0,127800.0,19134
0.0,9800.0,19122
495.0,222400.0,19147
1431.0,324200.0,19106
1650.0,45400.0,19140
920.0,73800.0,19134
750.0,67300.0,19124
892.0,100600.0,19138
897.0,286700.0,19107
1280.0,94900.0,19135
1254.0,196900.0,19154
852.0,95200.0,19121
1624.0,269100.0,19111
1480.0,84400.0,19142
1920.0,344500.0,19125
1152.0,121900.0,19151
1120.0,99500.0,19145
2571.0,477000.0,19125
1079.0,141100.0,19146
1284.0,146000.0,19125
0.0,16600.0,19132
1348.0,98200.0,19124
2760.0,271200.0,19134
1140.0,95200.0,19148
972.0,20000.0,19131
0.0,19700.0,19122
1624.0,71600.0,19151
1551.0,304500.0,19148
1170.0,65200.0,19132
1094.0,112800.0,19150
2688.0,382300.0,19147
839.0,230200.0,19147
1736.0,305400.0,19122
0.0,17800.0,19133
984.0,241000.0,19145
904.0,8500.0,19133
1733.0,282000.0,19115
0.0,19100.0,19125
1152.0,34800.0,19140
0.0,9000.0,19134
1700.0,221100.0,19122
1056.0,66500.0,19142
832.0,251500.0,19106
0.0,338600.0,19130
2676.0,698400.0,19123
1554.0,121200.0,19141
1494.0,84500.0,19142
1238.0,287900.0,19130
1442.0,41200.0,19144
864.0,165000.0,19115
1068.0,94800.0,19144
27358.0,1635700.0,19120
1224.0,65000.0,19124
0.0,294800.0,19128
3278.0,150600.0,19126
2480.0,209100.0,19152
1872.0,201300.0,19149
1214.0,66700.0,19142
1120.0,92000.0,19135
1428.0,88900.0,19143
0.0,118900.0,19122
1845.0,257200.0,19121
1844.0,108500.0,19124
2000.0,275100.0,19131
1252.0,202800.0,19128
1440.0,36800.0,19133
1390.0,55800.0,19139
1062.0,54100.0,19143
1110.0,219000.0,19128
0.0,18900.0,19121
1028.0,176700.0,19148
1040.0,135900.0,19148
1484.0,201800.0,19115
1817.0,234400.0,19144
1262.0,172800.0,19151
1578.0,93700.0,19131
2590.0,363600.0,19128
1088.0,50600.0,19124
912.0,6200.0,19133
1212.0,112300.0,19138
2159.0,236100.0,19111
1990.0,65800.0,19133
0.0,325600.0,19102
912.0,24800.0,19132
1157.0,75900.0,19134
0.0,6300.0,19132
1440.0,610000.0,19147
1138.0,94700.0,19114
815.0,59100.0,19131
2088.0,525000.0,19122
0.0,10300.0,19140
1226.0,101600.0,19134
1900.0,1095900.0,19102
1188.0,131300.0,19149
1088.0,94600.0,19124
900.0,68600.0,19142
9600.0,561500.0,19135
1093.0,75200.0,19143
1680.0,174100.0,19137
0.0,101028100.0,19103
1224.0,154700.0,19134
719.0,176300.0,19147
1150.0,64400.0,19143
1100.0,214900.0,19114
1412.0,228500.0,19116
1316.0,178200.0,19148
1564.0,308900.0,19148
1133.0,454900.0,19145
1080.0,36200.0,19143
1200.0,59800.0,19134
1976.0,320700.0,19134
1296.0,125200.0,19111
1290.0,129600.0,19143
0.0,109800.0,19123
0.0,94500.0,19140
1446.0,271500.0,19115
10986.0,742600.0,19123
1504.0,194000.0,19119
1200.0,21900.0,19134
1650.0,311300.0,19148
1056.0,179700.0,19145
1109.0,109200.0,19146
1504.0,88800.0,19134
1536.0,125000.0,19144
1440.0,208700.0,19153
957.0,127700.0,19134
13200.0,250800.0,19139
2124.0,96600.0,19139
1191.0,240800.0,19152
1216.0,39000.0,19135
1677.0,127200.0,19152
2520.0,1125000.0,19106
1401.0,327800.0,19122
1320.0,92800.0,19150
1817.0,263400.0,19147
